requested_url,final_url,status,content_type,response_bytes,response_ms,redirected,x_robots_tag,error,role,title,title_chars,meta_description,meta_description_chars,canonical,meta_robots,lang,og_title,og_description,og_image,published_time,modified_time,h1_count,h1,h2_count,h2,h3_count,main_word_count,article_word_count,total_word_count,internal_unique_links,external_unique_links,image_count,images_without_alt_attribute,lazy_image_count,json_ld_blocks,schema_types,form_count,script_count,stylesheet_count,php_warning_count,placeholder_href_count,has_invalid_http_phone_link,has_comment_form,has_tel_link,has_mailto_link,has_whatsapp_link,body_class
https://media87.com/,https://media87.com/,200,text/html; charset=UTF-8,132115,1200,False,,,homepage,Media87 – Ai Powered Digital Marketing – Ai Powered Digital Marketing,69,,0,https://media87.com/,max-image-preview:large,en-US,,,,,,1,"Digital Marketing, Local SEO, Content Creation & Ai Automation",6,Your AI-Powered Growth Partner | Connecting people is our business. | Connecting customers with your brand. | What they say about us? | Easy step way to get services | Get in Touch and Let's Grow Your Business,3,1120,0,1120,6,5,14,0,2,0,,1,37,36,0,35,False,False,False,False,False,home wp-singular page-template page-template-elementor_canvas page page-id-488 wp-embed-responsive wp-theme-hello-elementor hello-elementor-default elementor-default elementor-template-canvas elementor-kit-400 elementor-page elementor-page-488
https://media87.com/about-us/,https://media87.com/about-us/,200,text/html; charset=UTF-8,72318,1177,False,,,trust-conversion,About Us – Media87 – Ai Powered Digital Marketing,49,,0,https://media87.com/about-us/,max-image-preview:large,en-US,,,,,,1,About Us,2,Creative solutions deliver profits to your door | Why Choose Media87?,0,274,0,274,6,3,11,0,1,0,,0,27,33,0,19,False,False,False,False,False,wp-singular page-template page-template-elementor_canvas page page-id-562 wp-embed-responsive wp-theme-hello-elementor hello-elementor-default elementor-default elementor-template-canvas elementor-kit-400 elementor-page elementor-page-562
https://media87.com/ai-seo-dubai-smes-30-day-checklist/,https://media87.com/ai-seo-dubai-smes-30-day-checklist/,200,text/html; charset=UTF-8,86059,865,False,,,article,AI SEO for Dubai SMEs: 30-Day Implementation Checklist – Media87 – Ai Powered Digital Marketing,95,"A practical 30-day AI SEO plan for Dubai SMEs: intent mapping, service-page fixes, content workflow, local SEO, KPIs, and weekly optimization.",142,https://media87.com/ai-seo-dubai-smes-30-day-checklist/,max-image-preview:large,en-US,,,,,,1,AI SEO for Dubai SMEs: 30-Day Implementation Checklist,15,"TL;DR | Table of Contents | What AI SEO means for Dubai SMEs (and what it does not) | 30-Day Execution Snapshot | Week 1: Build the foundation before touching volume | Week 2: Build useful content that supports money pages | Week 3: Publish, interlink, and strengthen local trust signals | Week 4: Measure, optimize, and scale carefully | Priority Matrix (Fast Wins First) | KPI framework for practical decision-making | Common mistakes that reduce article quality | 30-day implementation checklist | Conclusion | Frequently Asked Questions | Leave a Reply Cancel reply",24,14,1663,2025,18,3,6,0,2,0,,1,27,26,0,19,False,True,False,False,False,
https://media87.com/ai-video-creation-service/,https://media87.com/ai-video-creation-service/,200,text/html; charset=UTF-8,88390,985,False,,,service,AI Video Creation Service – Media87 – Ai Powered Digital Marketing,66,,0,https://media87.com/ai-video-creation-service/,max-image-preview:large,en-US,,,,,,1,Professional AI Videos for Business Growth,4,Easy step way to get services | Our AI Video Creation Services | Short Form Content | Long form content,2,686,0,686,6,4,2,0,1,0,,1,28,29,0,23,False,False,False,False,False,wp-singular page-template page-template-elementor_canvas page page-id-593 wp-embed-responsive wp-theme-hello-elementor hello-elementor-default elementor-default elementor-template-canvas elementor-kit-400 elementor-page elementor-page-593
https://media87.com/arabic-vs-english-seo-uae-businesses/,https://media87.com/arabic-vs-english-seo-uae-businesses/,200,text/html; charset=UTF-8,84191,930,False,,,article,Arabic vs English SEO Strategy for UAE Businesses – Media87 – Ai Powered Digital Marketing,90,"A practical UAE guide to choosing Arabic, English, or bilingual SEO based on audience, intent, budget, and conversion goals.",124,https://media87.com/arabic-vs-english-seo-uae-businesses/,max-image-preview:large,en-US,,,,,,1,Arabic vs English SEO Strategy for UAE Businesses,12,Why language strategy matters in UAE SEO | English SEO: where it usually performs best | Arabic SEO: where it becomes important | Arabic vs English SEO: decision framework | The bilingual SEO mistake UAE businesses should avoid | Recommended rollout for UAE businesses | Technical SEO notes for bilingual sites | How Media87 would prioritize this for a UAE client | Checklist before investing in Arabic SEO | Final recommendation | FAQs | Leave a Reply Cancel reply,6,14,1522,1884,15,3,6,0,2,0,,1,27,26,0,19,False,True,False,False,False,
https://media87.com/author/muddaser321gmail-com/,https://media87.com/author/muddaser321gmail-com/,200,text/html; charset=UTF-8,65563,764,False,,,author,muddaser321@gmail.com – Media87 – Ai Powered Digital Marketing,62,,0,,max-image-preview:large,en-US,,,,,,1,Blog,0,,11,42,0,484,16,3,3,0,1,0,,0,26,17,0,20,False,False,False,False,False,archive author author-muddaser321gmail-com author-1 wp-embed-responsive wp-theme-hello-elementor hello-elementor-default elementor-default elementor-template-canvas elementor-kit-400 elementor-page-12707
https://media87.com/category/blog/,https://media87.com/category/blog/,200,text/html; charset=UTF-8,65439,845,False,,,taxonomy,Blog – Media87 – Ai Powered Digital Marketing,45,,0,,max-image-preview:large,en-US,,,,,,1,Blog,0,,11,42,0,482,16,3,3,0,1,0,,0,26,17,0,20,False,False,False,False,False,archive category category-blog category-11 wp-embed-responsive wp-theme-hello-elementor hello-elementor-default elementor-default elementor-template-canvas elementor-kit-400 elementor-page-12707
https://media87.com/contact-us/,https://media87.com/contact-us/,200,text/html; charset=UTF-8,73874,1038,False,,,trust-conversion,Contact Us – Media87 – Ai Powered Digital Marketing,51,,0,https://media87.com/contact-us/,max-image-preview:large,en-US,,,,,,1,Contact Us,2,Get in touch and let us know how we can help. | Send us a message,1,257,0,257,7,5,2,0,1,0,,1,25,28,0,20,True,False,False,False,False,wp-singular page-template page-template-elementor_canvas page page-id-571 wp-embed-responsive wp-theme-hello-elementor hello-elementor-default elementor-default elementor-template-canvas elementor-kit-400 elementor-page elementor-page-571
https://media87.com/create-cinematic-style-personal-portfolio/,https://media87.com/create-cinematic-style-personal-portfolio/,200,text/html; charset=UTF-8,76858,1150,False,,,article,How to create cinematic style personal portfolio website landing page – Media87 – Ai Powered Digital Marketing,110,,0,https://media87.com/create-cinematic-style-personal-portfolio/,max-image-preview:large,en-US,,,,,,1,How to create cinematic style personal portfolio website landing page,1,Leave a Reply Cancel reply,0,14,800,1019,15,3,5,0,2,0,,1,27,26,0,19,False,True,False,False,False,wp-singular post-template-default single single-post postid-8032 single-format-standard wp-embed-responsive wp-theme-hello-elementor hello-elementor-default elementor-default elementor-template-canvas elementor-kit-400 elementor-page-12718
https://media87.com/digital-marketing-agency-dubai-pricing-cost-breakdown/,https://media87.com/digital-marketing-agency-dubai-pricing-cost-breakdown/,200,text/html; charset=UTF-8,92255,964,False,,,commercial-location,Digital Marketing Agency Dubai: Pricing in Dubai (2026 Cost Breakdown) – Media87 – Ai Powered Digital Marketing,111,"A practical 2026 guide to digital marketing agency pricing in Dubai: retainers, ad spend, scope, channel costs, proposal comparisons, KPIs and red flags.",153,https://media87.com/digital-marketing-agency-dubai-pricing-cost-breakdown/,max-image-preview:large,en-US,,,,,,1,Digital Marketing Agency Dubai: Pricing in Dubai (2026 Cost Breakdown),14,"Table of contents | What affects digital marketing agency pricing in Dubai? | Common pricing models used by digital marketing agencies | Cost ranges by scope: focused, growth, and full-funnel | What is usually separate from the agency fee? | Channel-specific cost drivers | How to compare agency proposals fairly | A practical budgeting framework for Dubai businesses | Common pricing pitfalls and fixes | KPIs that make pricing easier to judge | 30-day action plan before hiring an agency | Useful sources and further reading | FAQ | Leave a Reply Cancel reply",6,14,2391,2755,16,8,6,0,2,0,,1,27,26,0,19,False,True,False,False,False,
