source_url,source_set,current_status,current_role,provisional_action,target_url,evidence_required,reason
https://media87.com/,native-sitemap,200,homepage,preserve-rebuild,https://media87.com/,GSC queries; conversions; backlinks; approved proof,"Primary agency page; retain URL, rebuild around location-neutral commercial intent, and preserve verified Dubai business context."
https://media87.com/2025/12/02/,internal-or-search-discovered,200,article,retire-archive-after-evidence,,GSC queries; conversions; backlinks; historical content,Thin indexable daily archive absent from sitemap; remove date links and do not recreate unless it has external value.
https://media87.com/2025/12/19/,internal-or-search-discovered,200,article,retire-archive-after-evidence,,GSC queries; conversions; backlinks; historical content,Thin indexable daily archive absent from sitemap; remove date links and do not recreate unless it has external value.
https://media87.com/2025/12/24/,internal-or-search-discovered,200,article,retire-archive-after-evidence,,GSC queries; conversions; backlinks; historical content,Thin indexable daily archive absent from sitemap; remove date links and do not recreate unless it has external value.
https://media87.com/2026/01/01/,internal-or-search-discovered,200,article,retire-archive-after-evidence,,GSC queries; conversions; backlinks; historical content,Thin indexable daily archive absent from sitemap; remove date links and do not recreate unless it has external value.
https://media87.com/2026/01/03/,internal-or-search-discovered,200,article,retire-archive-after-evidence,,GSC queries; conversions; backlinks; historical content,Thin indexable daily archive absent from sitemap; remove date links and do not recreate unless it has external value.
https://media87.com/2026/01/05/,internal-or-search-discovered,200,article,retire-archive-after-evidence,,GSC queries; conversions; backlinks; historical content,Thin indexable daily archive absent from sitemap; remove date links and do not recreate unless it has external value.
https://media87.com/2026/01/08/,internal-or-search-discovered,200,article,retire-archive-after-evidence,,GSC queries; conversions; backlinks; historical content,Thin indexable daily archive absent from sitemap; remove date links and do not recreate unless it has external value.
https://media87.com/2026/01/09/,internal-or-search-discovered,200,article,retire-archive-after-evidence,,GSC queries; conversions; backlinks; historical content,Thin indexable daily archive absent from sitemap; remove date links and do not recreate unless it has external value.
https://media87.com/2026/01/12/,internal-or-search-discovered,200,article,retire-archive-after-evidence,,GSC queries; conversions; backlinks; historical content,Thin indexable daily archive absent from sitemap; remove date links and do not recreate unless it has external value.
https://media87.com/2026/01/25/,internal-or-search-discovered,200,article,retire-archive-after-evidence,,GSC queries; conversions; backlinks; historical content,Thin indexable daily archive absent from sitemap; remove date links and do not recreate unless it has external value.
https://media87.com/2026/01/26/,internal-or-search-discovered,200,article,retire-archive-after-evidence,,GSC queries; conversions; backlinks; historical content,Thin indexable daily archive absent from sitemap; remove date links and do not recreate unless it has external value.
https://media87.com/2026/02/15/,internal-or-search-discovered,200,article,retire-archive-after-evidence,,GSC queries; conversions; backlinks; historical content,Thin indexable daily archive absent from sitemap; remove date links and do not recreate unless it has external value.
https://media87.com/2026/02/22/,internal-or-search-discovered,200,article,retire-archive-after-evidence,,GSC queries; conversions; backlinks; historical content,Thin indexable daily archive absent from sitemap; remove date links and do not recreate unless it has external value.
https://media87.com/2026/04/03/,internal-or-search-discovered,200,article,retire-archive-after-evidence,,GSC queries; conversions; backlinks; historical content,Thin indexable daily archive absent from sitemap; remove date links and do not recreate unless it has external value.
https://media87.com/2026/05/27/,internal-or-search-discovered,200,article,retire-archive-after-evidence,,GSC queries; conversions; backlinks; historical content,Thin indexable daily archive absent from sitemap; remove date links and do not recreate unless it has external value.
https://media87.com/2026/05/28/,internal-or-search-discovered,200,article,retire-archive-after-evidence,,GSC queries; conversions; backlinks; historical content,Thin indexable daily archive absent from sitemap; remove date links and do not recreate unless it has external value.
https://media87.com/2026/05/31/,internal-or-search-discovered,200,article,retire-archive-after-evidence,,GSC queries; conversions; backlinks; historical content,Thin indexable daily archive absent from sitemap; remove date links and do not recreate unless it has external value.
https://media87.com/2026/06/01/,internal-or-search-discovered,200,article,retire-archive-after-evidence,,GSC queries; conversions; backlinks; historical content,Thin indexable daily archive absent from sitemap; remove date links and do not recreate unless it has external value.
https://media87.com/2026/06/02/,internal-or-search-discovered,200,article,retire-archive-after-evidence,,GSC queries; conversions; backlinks; historical content,Thin indexable daily archive absent from sitemap; remove date links and do not recreate unless it has external value.
https://media87.com/2026/06/13/,internal-or-search-discovered,200,article,retire-archive-after-evidence,,GSC queries; conversions; backlinks; historical content,Thin indexable daily archive absent from sitemap; remove date links and do not recreate unless it has external value.
https://media87.com/2026/06/14/,internal-or-search-discovered,200,article,retire-archive-after-evidence,,GSC queries; conversions; backlinks; historical content,Thin indexable daily archive absent from sitemap; remove date links and do not recreate unless it has external value.
https://media87.com/2026/06/17/,internal-or-search-discovered,200,article,retire-archive-after-evidence,,GSC queries; conversions; backlinks; historical content,Thin indexable daily archive absent from sitemap; remove date links and do not recreate unless it has external value.
https://media87.com/2026/06/20/,internal-or-search-discovered,200,article,retire-archive-after-evidence,,GSC queries; conversions; backlinks; historical content,Thin indexable daily archive absent from sitemap; remove date links and do not recreate unless it has external value.
https://media87.com/2026/06/23/,internal-or-search-discovered,200,article,retire-archive-after-evidence,,GSC queries; conversions; backlinks; historical content,Thin indexable daily archive absent from sitemap; remove date links and do not recreate unless it has external value.
https://media87.com/2026/06/26/,internal-or-search-discovered,200,article,retire-archive-after-evidence,,GSC queries; conversions; backlinks; historical content,Thin indexable daily archive absent from sitemap; remove date links and do not recreate unless it has external value.
https://media87.com/2026/07/01/,internal-or-search-discovered,200,article,retire-archive-after-evidence,,GSC queries; conversions; backlinks; historical content,Thin indexable daily archive absent from sitemap; remove date links and do not recreate unless it has external value.
https://media87.com/2026/07/18/,internal-or-search-discovered,200,article,retire-archive-after-evidence,,GSC queries; conversions; backlinks; historical content,Thin indexable daily archive absent from sitemap; remove date links and do not recreate unless it has external value.
https://media87.com/2026/07/21/,internal-or-search-discovered,200,article,retire-archive-after-evidence,,GSC queries; conversions; backlinks; historical content,Thin indexable daily archive absent from sitemap; remove date links and do not recreate unless it has external value.
https://media87.com/about-us/,native-sitemap,200,trust-conversion,preserve-rebuild,https://media87.com/about-us/,GSC queries; conversions; backlinks; approved proof,Trust page; retain URL and replace unverified/template proof.
https://media87.com/ads-managment/,internal-or-search-discovered,404,article,301-when-target-live,https://media87.com/services/google-ads/,GSC queries; conversions; backlinks; historical content,Misspelled broken historical service URL.
https://media87.com/ai-seo-dubai-smes-30-day-checklist/,native-sitemap,200,article,preserve-update,https://media87.com/ai-seo-dubai-smes-30-day-checklist/,GSC queries; conversions; backlinks; approved proof,Preserve the current URL for the initial platform migration; edit and consolidate only after GSC/backlink review.
https://media87.com/ai-video-creation-service/,native-sitemap,200,service,preserve-rebuild,https://media87.com/ai-video-creation-service/,GSC queries; conversions; backlinks; approved proof,"Existing service URL; add actual samples, process, deliverables, and proof."
https://media87.com/arabic-vs-english-seo-uae-businesses/,native-sitemap,200,article,preserve-update,https://media87.com/arabic-vs-english-seo-uae-businesses/,GSC queries; conversions; backlinks; approved proof,Preserve the current URL for the initial platform migration; edit and consolidate only after GSC/backlink review.
https://media87.com/author/muddaser321gmail-com/,native-sitemap,200,author,provisional-301,https://media87.com/team/muddaser-altaf/,GSC queries; conversions; backlinks; approved proof,Email-derived author URL; replace with a real Person/team page.
https://media87.com/authors-team/,internal-or-search-discovered,404,article,301-when-target-live,https://media87.com/team/muddaser-altaf/,GSC queries; conversions; backlinks; historical content,Broken indexed author/team URL.
https://media87.com/category/blog/,native-sitemap,200,taxonomy,provisional-301,https://media87.com/insights/,GSC queries; conversions; backlinks; approved proof,Thin uncannonical archive; migrate to a curated insights hub after evidence review.
https://media87.com/chatzen/,internal-or-search-discovered,404,article,conditional-restore,https://media87.com/products/chatzen/,GSC queries; conversions; backlinks; historical content,Restore/redirect only if ChatZen is an active product with approved claims and support.
https://media87.com/contact-us/,native-sitemap,200,trust-conversion,preserve-rebuild,https://media87.com/contact-us/,GSC queries; conversions; backlinks; approved proof,Canonical conversion page; repair phone/chat/form tracking.
https://media87.com/contact/,internal-or-search-discovered,200,article,301,https://media87.com/contact-us/,GSC queries; conversions; backlinks; historical content,Duplicate 200 URL already canonicalized to /contact-us/ but not redirected.
https://media87.com/create-cinematic-style-personal-portfolio/,native-sitemap,200,article,preserve-update,https://media87.com/create-cinematic-style-personal-portfolio/,GSC queries; conversions; backlinks; approved proof,Preserve the current URL for the initial platform migration; edit and consolidate only after GSC/backlink review.
https://media87.com/digital-marketing-agency-dubai-pricing-cost-breakdown/,native-sitemap,200,commercial-location,preserve-update,https://media87.com/digital-marketing-agency-dubai-pricing-cost-breakdown/,GSC queries; conversions; backlinks; approved proof,Preserve the current URL for the initial platform migration; edit and consolidate only after GSC/backlink review.
https://media87.com/digital-marketing-agency-jlt-dubai/,native-sitemap,200,commercial-location,consolidate-after-evidence,https://media87.com/,GSC queries; conversions; backlinks; approved proof,Generic blog-style location page; keep only if a genuine JLT evidence gate can be met.
https://media87.com/digital-marketing-services-dubai/,internal-or-search-discovered,404,article,301-when-target-live,https://media87.com/services/,GSC queries; conversions; backlinks; historical content,Broken service-intent URL; consolidate to the service hub.
https://media87.com/digital-marketing-services-in-dubai/,internal-or-search-discovered,404,article,301-when-target-live,https://media87.com/services/,GSC queries; conversions; backlinks; historical content,Recently indexed broken service-intent URL; consolidate to the service hub.
https://media87.com/dubai-ecommerce-seo-complete-guide-online-stores/,native-sitemap,200,article,preserve-update,https://media87.com/dubai-ecommerce-seo-complete-guide-online-stores/,GSC queries; conversions; backlinks; approved proof,Preserve the current URL for the initial platform migration; edit and consolidate only after GSC/backlink review.
https://media87.com/email-automated-replies-for-your-customer-service-or-agency/,native-sitemap,200,article,preserve-update,https://media87.com/email-automated-replies-for-your-customer-service-or-agency/,GSC queries; conversions; backlinks; approved proof,Preserve the current URL for the initial platform migration; edit and consolidate only after GSC/backlink review.
https://media87.com/faqs/,internal-or-search-discovered,404,article,retire-or-301-after-evidence,https://media87.com/about-us/#faqs,GSC queries; conversions; backlinks; historical content,Broken indexed page contains internal/editorial content that should not be restored unchanged.
https://media87.com/future-growth-lab/,internal-or-search-discovered,404,article,provisional-410,,GSC queries; conversions; backlinks; historical content,Appears to be a former concept/staging page; check GSC/backlinks before removal.
https://media87.com/geo-tagging-images-for-seo/,internal-or-search-discovered,404,article,provisional-410,,GSC queries; conversions; backlinks; historical content,"Broken linked article; recover original only if it has traffic, links, or reusable value."
https://media87.com/google-ads-agency-dubai-questions-before-signing/,native-sitemap,200,commercial-location,preserve-update,https://media87.com/google-ads-agency-dubai-questions-before-signing/,GSC queries; conversions; backlinks; approved proof,Preserve the current URL for the initial platform migration; edit and consolidate only after GSC/backlink review.
https://media87.com/google-ads-management-cost-dubai-2026/,native-sitemap,200,article,preserve-update,https://media87.com/google-ads-management-cost-dubai-2026/,GSC queries; conversions; backlinks; approved proof,Preserve the current URL for the initial platform migration; edit and consolidate only after GSC/backlink review.
https://media87.com/google-ads-management-dubai/,internal-or-search-discovered,404,article,301-when-target-live,https://media87.com/services/google-ads/,GSC queries; conversions; backlinks; historical content,High-intent historical URL currently returning 404; redirect it to the location-neutral Google Ads service page.
https://media87.com/hosting/,internal-or-search-discovered,404,article,provisional-410,,GSC queries; conversions; backlinks; historical content,Broken commercial link; restore only if hosting remains an active offer.
https://media87.com/how-long-does-seo-take-uae-realistic-timelines/,native-sitemap,200,article,preserve-update,https://media87.com/how-long-does-seo-take-uae-realistic-timelines/,GSC queries; conversions; backlinks; approved proof,Preserve the current URL for the initial platform migration; edit and consolidate only after GSC/backlink review.
